Monthly_Income,Family_Size,Children,Previous_Expense,Month,Festival,Food_Preference,Guest_Arrival,Price_Hike,Shopping_Frequency,Grocery_Expense
41142,3,2,15398,December,no,Mixed,Yes,Yes,Monthly,20261
34901,8,4,6029,July,yes,Non-Veg,No,Yes,Biweekly,11443
148917,6,3,10785,June,no,Vegetarian,No,Yes,Biweekly,15816
88634,8,1,5044,August,yes,Non-Veg,Yes,No,Biweekly,10247
92124,1,0,8380,August,no,Non-Veg,Yes,No,Monthly,10016
110889,8,4,13032,June,yes,Non-Veg,Yes,Yes,Monthly,22288
104175,6,0,15977,November,no,Non-Veg,Yes,Yes,Monthly,22867
50621,7,0,9819,December,no,Vegetarian,Yes,Yes,Biweekly,16278
114029,4,2,16346,July,no,Mixed,No,No,weekly,18946
47994,6,2,3423,January,no,Non-Veg,Yes,Yes,Biweekly,8458
97544,3,2,16085,April,no,Vegetarian,No,No,Biweekly,17685
125553,1,0,6214,November,yes,Vegetarian,No,No,Monthly,6714
74660,4,3,4968,March,no,Non-Veg,No,No,Biweekly,7368
54821,2,0,13163,December,yes,Vegetarian,Yes,No,Monthly,15144
73289,4,3,7595,June,yes,Vegetarian,Yes,No,Monthly,11190
144944,7,4,7642,October,yes,Vegetarian,Yes,Yes,weekly,15895
42063,8,3,10479,November,no,Vegetarian,No,No,Monthly,14879
34720,1,0,16395,february,yes,Non-Veg,Yes,Yes,weekly,19106
53819,1,0,16574,february,yes,Non-Veg,No,No,weekly,16574
73000,7,4,6912,february,yes,Mixed,Yes,Yes,Biweekly,12906
80874,8,3,6671,August,no,Vegetarian,Yes,No,Biweekly,12136
136473,7,0,15466,March,no,Non-Veg,No,No,Biweekly,18966
119704,4,2,15583,March,no,Non-Veg,No,No,weekly,18183
43182,1,0,11410,August,yes,Mixed,Yes,Yes,weekly,13424
78848,4,2,10808,february,no,Mixed,Yes,Yes,weekly,14275
116714,2,1,7557,January,yes,Vegetarian,No,Yes,Biweekly,9688
87256,2,1,12619,December,no,Non-Veg,Yes,No,Biweekly,15041
130713,4,0,14267,September,no,Non-Veg,Yes,No,weekly,17848
142965,3,2,3402,October,yes,Mixed,Yes,Yes,Biweekly,6800
43940,8,3,4902,June,yes,Vegetarian,No,No,Biweekly,9302
69855,1,0,15288,March,no,Mixed,No,No,weekly,15288
31646,4,0,3699,April,yes,Vegetarian,No,No,weekly,5199
15940,2,1,16403,December,yes,Non-Veg,Yes,Yes,Biweekly,20613
99636,4,1,15667,September,no,Non-Veg,Yes,Yes,Biweekly,20804
65519,1,0,10925,December,no,Mixed,No,Yes,Monthly,12078
103747,7,4,6501,August,yes,Vegetarian,Yes,Yes,Monthly,13108
140737,6,3,16339,October,no,Mixed,Yes,No,Monthly,21252
49485,3,1,11000,December,yes,Vegetarian,No,No,Biweekly,12300
37545,5,0,9042,April,no,Mixed,Yes,Yes,Biweekly,12733
50299,8,0,13638,December,no,Non-Veg,No,Yes,Biweekly,18309
119212,7,2,9356,August,no,Mixed,No,Yes,Biweekly,14202
37388,7,4,7011,March,no,Mixed,Yes,Yes,Monthly,12522
67056,1,0,2741,November,yes,Non-Veg,No,No,Monthly,2741
131937,1,0,15156,December,no,Non-Veg,Yes,No,Biweekly,16688
48754,6,3,14558,April,yes,Mixed,No,Yes,Monthly,18859
18327,5,1,6780,february,no,Mixed,Yes,Yes,weekly,10756
77176,6,0,10143,february,no,Vegetarian,Yes,Yes,weekly,14497
131889,7,2,4944,November,yes,Vegetarian,Yes,No,Monthly,9753
136656,3,0,16732,April,yes,Mixed,No,Yes,Monthly,20001
143857,8,4,9155,October,no,Vegetarian,Yes,No,Biweekly,15638
89102,2,0,4188,December,no,Vegetarian,Yes,Yes,Monthly,6134
136255,3,0,7307,November,no,Mixed,No,No,Monthly,8807
145681,8,4,8519,July,yes,Vegetarian,Yes,No,weekly,14946
34919,8,3,5384,June,no,Non-Veg,Yes,Yes,Monthly,11585
65311,2,1,3793,february,no,Non-Veg,Yes,Yes,Monthly,6215
34876,6,4,14165,february,yes,Mixed,Yes,No,Biweekly,18795
71213,6,2,12776,february,no,Vegetarian,No,No,Biweekly,15876
126279,7,3,7052,September,yes,Vegetarian,No,Yes,Biweekly,12892
68794,2,0,5957,December,yes,Non-Veg,No,No,Biweekly,6457
55313,6,2,14749,february,yes,Non-Veg,No,Yes,weekly,19690
40141,8,0,6918,October,yes,Mixed,Yes,Yes,Monthly,12373
78663,8,1,17695,January,no,Non-Veg,Yes,No,Biweekly,23447
112998,6,4,8664,December,no,Vegetarian,Yes,Yes,weekly,14973
73931,7,1,7797,July,yes,Mixed,No,No,weekly,11097
50806,6,2,5544,October,no,Non-Veg,Yes,Yes,Monthly,11972
94186,5,2,10415,April,no,Mixed,No,No,Monthly,13015
120237,5,4,16145,April,no,Non-Veg,Yes,Yes,weekly,23343
127476,8,3,13367,December,yes,Non-Veg,Yes,No,weekly,18931
28260,4,0,15078,November,no,Non-Veg,No,Yes,weekly,17343
39634,2,1,13315,March,yes,Vegetarian,No,Yes,Biweekly,15161
57515,8,2,14756,January,no,Mixed,No,Yes,Monthly,20043
18784,5,1,9185,December,no,Vegetarian,No,Yes,Biweekly,12511
85695,8,3,3651,November,no,Vegetarian,No,Yes,Monthly,8764
106924,2,1,8822,June,no,Vegetarian,Yes,Yes,Monthly,13149
59892,4,3,9565,August,no,Non-Veg,Yes,No,Monthly,12903
109917,6,1,5612,July,yes,Mixed,No,Yes,Monthly,9990
24647,5,3,8303,September,yes,Mixed,No,Yes,Biweekly,11874
39698,5,2,14225,September,no,Mixed,No,Yes,Biweekly,19269
148163,1,0,16260,December,yes,Vegetarian,No,Yes,weekly,18584
148505,4,3,12435,December,yes,Vegetarian,No,No,Biweekly,15335
123179,3,2,3302,September,yes,Mixed,Yes,Yes,Monthly,7874
41015,5,3,9307,february,no,Non-Veg,Yes,Yes,Biweekly,14545
92407,5,3,16339,february,yes,Mixed,Yes,Yes,Monthly,21954
105794,5,4,16583,September,no,Non-Veg,Yes,No,Monthly,22146
33968,2,0,9663,June,yes,Mixed,No,Yes,weekly,11559
97801,1,0,9709,July,no,Vegetarian,Yes,Yes,Monthly,12118
119371,5,3,10921,february,yes,Non-Veg,Yes,Yes,weekly,16977
101718,3,1,7498,July,yes,Non-Veg,No,No,Monthly,9298
62016,6,3,2743,December,yes,Mixed,No,No,Biweekly,6143
28903,8,0,11835,September,no,Vegetarian,Yes,Yes,Monthly,17261
126225,3,0,6884,June,no,Non-Veg,No,Yes,Monthly,8979
75054,3,1,5981,July,no,Mixed,Yes,Yes,weekly,9868
84571,4,1,15320,September,yes,Mixed,Yes,Yes,Monthly,20487
101266,6,3,5779,february,no,Non-Veg,No,Yes,Biweekly,10152
114345,8,2,7541,November,yes,Mixed,Yes,Yes,Biweekly,13514
44875,2,1,10005,August,no,Mixed,Yes,No,weekly,12337
16429,8,1,14586,June,yes,Non-Veg,Yes,No,Biweekly,20072
86928,8,0,7875,July,yes,Mixed,Yes,No,Monthly,13283
24818,7,2,6589,September,no,Non-Veg,Yes,No,Monthly,11647
35838,7,1,7915,September,yes,Non-Veg,No,Yes,Biweekly,12691
63263,3,2,2819,february,no,Non-Veg,Yes,Yes,Biweekly,5414
118430,5,0,9572,December,yes,Non-Veg,Yes,No,Biweekly,12706
140811,1,0,8829,June,no,Non-Veg,Yes,No,Biweekly,10967
114874,7,1,5143,february,no,Non-Veg,Yes,No,Biweekly,9852
70661,7,0,3567,July,no,Vegetarian,No,No,Biweekly,6567
91151,7,0,6524,September,yes,Non-Veg,No,No,Biweekly,9524
100263,3,2,10274,July,no,Mixed,No,No,weekly,12374
75622,4,2,17284,April,yes,Vegetarian,Yes,Yes,Monthly,22570
53543,8,0,2817,June,yes,Non-Veg,Yes,Yes,weekly,8976
49272,2,0,5977,february,yes,Mixed,No,No,Biweekly,6477
76804,5,0,6194,December,yes,Vegetarian,No,Yes,Monthly,9408
125959,5,1,12998,August,yes,Mixed,No,Yes,Monthly,17471
30728,2,0,14037,October,no,Vegetarian,No,Yes,weekly,15808
137060,6,2,11933,January,yes,Vegetarian,No,No,Biweekly,15533
133759,7,2,8171,february,no,Mixed,Yes,Yes,Monthly,14600
71469,4,0,15206,August,yes,Mixed,Yes,No,weekly,18329
20016,5,1,4324,July,no,Vegetarian,No,Yes,Monthly,6934
85636,3,0,7266,January,no,Mixed,No,Yes,weekly,9316
133988,3,2,8271,March,yes,Vegetarian,No,No,weekly,10371
16822,5,3,11903,March,yes,Non-Veg,Yes,No,Monthly,16468
141993,1,0,7791,October,no,Vegetarian,Yes,Yes,Monthly,11426
131916,1,0,3052,february,yes,Mixed,Yes,Yes,weekly,4933
60777,1,0,16336,October,no,Non-Veg,No,Yes,Monthly,17912
59400,5,4,10129,November,yes,Mixed,Yes,No,Biweekly,14844
70763,3,0,11720,August,no,Vegetarian,No,No,Monthly,12720
141881,7,2,8297,August,yes,Mixed,Yes,No,weekly,13389
133042,2,0,7247,December,yes,Mixed,Yes,Yes,Monthly,10804
132553,2,0,6631,September,yes,Non-Veg,No,No,Monthly,7631
51603,7,0,11862,february,no,Non-Veg,No,No,Monthly,14862
52285,8,3,16524,November,no,Vegetarian,No,No,Monthly,20924
98640,1,0,4522,July,no,Vegetarian,No,No,Biweekly,4522
57950,3,0,11988,August,no,Vegetarian,No,No,weekly,12988
143185,3,1,13913,April,yes,Non-Veg,Yes,No,weekly,16229
134621,1,0,16183,August,yes,Non-Veg,Yes,Yes,weekly,20093
106172,8,1,8964,November,no,Non-Veg,No,No,weekly,13264
145203,1,0,14770,March,yes,Non-Veg,Yes,No,weekly,16395
49554,7,3,8761,July,no,Mixed,No,Yes,Biweekly,14291
77422,1,0,8012,June,no,Non-Veg,Yes,Yes,Monthly,9401
142698,7,1,3366,August,yes,Vegetarian,No,Yes,Monthly,7986
111981,1,0,2928,June,yes,Mixed,No,Yes,Biweekly,3850
101951,1,0,10929,february,yes,Vegetarian,No,Yes,Monthly,12018
97069,8,2,12406,August,yes,Mixed,No,Yes,Monthly,18108
92450,8,2,12560,March,no,Non-Veg,Yes,No,Biweekly,18055
19466,5,0,5225,March,no,Mixed,No,Yes,weekly,7582
61119,1,0,11758,December,no,Mixed,No,Yes,Biweekly,13383
109158,5,3,6561,November,yes,Non-Veg,Yes,No,weekly,11253
49322,5,0,13373,September,yes,Mixed,Yes,No,Biweekly,16683
91105,6,0,5474,September,yes,Mixed,Yes,No,Biweekly,9613
144102,8,2,4864,March,no,Non-Veg,No,No,weekly,9464
134850,2,0,14378,June,yes,Vegetarian,Yes,Yes,Monthly,17224
143801,3,2,5309,December,no,Vegetarian,No,No,Monthly,7409
69027,1,0,8121,July,yes,Vegetarian,No,Yes,weekly,9294
58075,4,0,3924,October,yes,Mixed,No,Yes,Monthly,6075
61744,6,0,13114,January,no,Vegetarian,Yes,Yes,weekly,18605
102182,6,4,8354,february,yes,Mixed,No,No,Biweekly,12554
119830,6,2,17781,September,yes,Non-Veg,Yes,No,Biweekly,23234
139663,1,0,10814,June,no,Non-Veg,No,No,Biweekly,11314
83708,4,2,4949,November,yes,Vegetarian,No,Yes,Monthly,7458
114370,8,1,14649,October,yes,Vegetarian,Yes,No,Monthly,20521
61003,2,0,4166,October,yes,Vegetarian,Yes,No,weekly,6618
36993,8,4,12984,June,no,Non-Veg,Yes,No,weekly,18480
83256,7,0,14565,January,no,Vegetarian,Yes,No,Monthly,18710
49770,6,3,7605,January,no,Vegetarian,No,No,Monthly,11005
117121,8,0,13127,March,yes,Mixed,No,No,Biweekly,17127
29889,3,2,6838,July,no,Non-Veg,No,Yes,weekly,8814
138479,4,1,17473,November,yes,Vegetarian,Yes,Yes,weekly,21726
115778,1,0,6859,July,yes,Non-Veg,No,No,weekly,7359
21985,6,4,2590,July,yes,Vegetarian,Yes,Yes,Biweekly,8165
110858,8,3,8006,february,no,Non-Veg,Yes,No,weekly,13583
58430,7,3,4488,October,no,Vegetarian,No,No,Monthly,8388
33241,8,4,9730,August,yes,Mixed,No,Yes,Monthly,15182
135350,6,4,6191,July,yes,Vegetarian,No,No,Monthly,10391
95002,4,3,10100,february,yes,Vegetarian,Yes,Yes,weekly,15089
116224,3,1,14316,July,yes,Vegetarian,No,Yes,Monthly,17777
35343,7,4,9769,September,no,Non-Veg,Yes,No,Monthly,15623
20877,5,4,13330,february,no,Non-Veg,No,Yes,weekly,17635
100473,1,0,8369,October,yes,Mixed,Yes,Yes,Monthly,10035
76766,3,1,4462,December,yes,Vegetarian,Yes,Yes,Biweekly,7144
56089,4,3,2955,february,no,Non-Veg,No,No,Biweekly,5355
83184,7,3,12802,October,yes,Non-Veg,Yes,No,Monthly,17576
17481,3,0,4950,february,yes,Vegetarian,No,No,Biweekly,5650
58204,2,0,11436,December,yes,Mixed,Yes,No,Biweekly,12838
23815,6,2,6727,November,no,Mixed,Yes,Yes,weekly,12304
68015,8,3,8129,february,yes,Non-Veg,No,No,weekly,12529
88612,4,0,16207,December,yes,Mixed,No,No,Biweekly,17707
109459,3,2,5546,September,yes,Mixed,No,No,Biweekly,7646
48535,5,4,10056,December,yes,Mixed,Yes,Yes,Biweekly,16203
50417,1,0,6947,September,no,Mixed,No,Yes,Monthly,7574
68914,6,3,10390,August,no,Vegetarian,Yes,Yes,Monthly,17347
36185,6,3,14380,November,yes,Non-Veg,No,No,Biweekly,17780
98712,5,2,3905,December,no,Vegetarian,No,Yes,weekly,7364
66329,4,3,6058,November,yes,Vegetarian,No,No,weekly,8458
106311,4,2,11769,february,yes,Vegetarian,No,Yes,Biweekly,15364
39884,3,2,14069,March,yes,Non-Veg,No,No,Biweekly,15669
28459,1,0,13616,June,no,Non-Veg,Yes,No,Monthly,14376
61711,3,1,13432,April,yes,Mixed,Yes,No,Biweekly,16098
100070,6,4,5615,September,no,Vegetarian,No,Yes,Biweekly,10995
35794,3,0,3009,July,no,Vegetarian,Yes,Yes,Monthly,6526
60225,2,1,7909,January,no,Non-Veg,No,Yes,weekly,9868
118446,1,0,7785,January,yes,Mixed,Yes,Yes,weekly,10145
38741,5,1,3278,October,yes,Non-Veg,No,Yes,Biweekly,6234
42653,3,0,6232,January,no,Non-Veg,Yes,No,weekly,7959
85907,7,2,11014,December,no,Non-Veg,Yes,No,weekly,16381
67416,2,1,13454,January,yes,Vegetarian,No,Yes,weekly,16357
138914,3,0,3093,November,no,Vegetarian,Yes,No,Biweekly,6063
103525,5,3,17635,September,yes,Mixed,Yes,Yes,Monthly,24864
62805,3,1,9962,february,yes,Mixed,Yes,No,Monthly,12499
119587,5,2,6712,June,yes,Vegetarian,Yes,No,weekly,10674
124474,5,1,2898,August,no,Non-Veg,No,Yes,Biweekly,6147
137062,6,4,3622,October,yes,Vegetarian,No,Yes,weekly,8739
127403,7,0,11899,January,no,Mixed,Yes,Yes,weekly,17876
24250,6,1,15468,September,no,Non-Veg,No,No,weekly,17968
42141,7,0,3236,October,no,Non-Veg,No,No,weekly,6236
145968,4,3,17969,December,no,Non-Veg,Yes,No,weekly,22664
124655,2,0,15661,September,no,Mixed,Yes,Yes,weekly,18390
148787,5,4,17024,January,yes,Non-Veg,No,No,Biweekly,20724
86243,2,1,3948,November,no,Non-Veg,Yes,Yes,Biweekly,7269
31580,5,1,13280,April,yes,Vegetarian,No,Yes,weekly,16508
134007,5,0,16401,July,no,Mixed,Yes,Yes,weekly,22195
109730,3,2,17822,february,no,Mixed,Yes,No,Monthly,21127
22654,8,0,12676,November,no,Vegetarian,Yes,No,weekly,16748
116365,6,0,15421,february,yes,Non-Veg,Yes,No,Monthly,20208
108638,8,0,12907,April,no,Non-Veg,No,Yes,Biweekly,18206
81373,5,1,17670,April,yes,Non-Veg,No,Yes,weekly,21458
94892,6,4,6816,September,no,Mixed,Yes,No,Monthly,12082
139019,4,1,6147,July,yes,Non-Veg,No,No,weekly,8447
59362,7,2,9415,August,yes,Mixed,No,Yes,Monthly,13717
142302,4,3,16513,June,yes,Mixed,Yes,No,weekly,19984
35832,1,0,7464,July,yes,Mixed,No,Yes,Biweekly,7877
110832,7,0,5610,January,no,Mixed,Yes,Yes,weekly,11793
138792,7,1,6959,November,no,Vegetarian,No,Yes,Biweekly,12067
24966,2,0,13199,August,yes,Vegetarian,Yes,Yes,Monthly,16900
118021,2,0,3180,february,yes,Vegetarian,Yes,Yes,Monthly,6821
141248,3,0,13074,September,no,Vegetarian,Yes,Yes,Biweekly,16599
105139,7,2,7827,October,no,Mixed,Yes,No,weekly,12555
51788,4,1,10546,March,yes,Mixed,No,No,Monthly,12346
79743,7,2,16577,September,no,Vegetarian,No,No,Biweekly,20177
15358,4,0,2693,february,no,Non-Veg,Yes,Yes,Monthly,5921
50996,6,0,12204,January,yes,Mixed,No,No,Monthly,14704
48587,6,2,4095,June,no,Mixed,No,No,Biweekly,7195
36696,8,4,7837,August,yes,Vegetarian,Yes,Yes,Biweekly,15835
96608,2,1,5304,August,yes,Mixed,Yes,Yes,weekly,8206
43513,3,1,4949,December,no,Vegetarian,No,Yes,Monthly,6760
131011,1,0,5528,August,yes,Mixed,No,No,Monthly,6028
58711,5,1,10334,October,no,Mixed,No,Yes,Monthly,13672
17240,2,1,17197,December,no,Vegetarian,Yes,Yes,Monthly,20079
90997,8,1,8840,March,yes,Mixed,No,No,weekly,12640
115989,5,0,3346,November,yes,Mixed,Yes,No,Biweekly,6541
53440,7,0,15475,August,no,Mixed,Yes,Yes,weekly,21702
67453,1,0,3935,September,yes,Mixed,Yes,Yes,Biweekly,5539
121264,6,3,16313,October,no,Mixed,No,Yes,weekly,22791
82917,4,1,4156,June,yes,Mixed,Yes,Yes,Biweekly,7368
118329,2,0,8128,March,no,Vegetarian,Yes,Yes,Monthly,10797
124680,1,0,4867,March,yes,Vegetarian,Yes,No,Monthly,5885
114094,8,0,15372,february,no,Non-Veg,Yes,Yes,weekly,22606
149339,1,0,17283,March,no,Non-Veg,Yes,Yes,Biweekly,21478
31504,7,0,13995,December,no,Vegetarian,No,No,Monthly,16995
124717,7,3,14681,November,no,Vegetarian,Yes,Yes,weekly,22418
26783,3,0,10514,January,yes,Vegetarian,No,Yes,Monthly,12623
114207,5,4,8043,July,yes,Mixed,Yes,No,Biweekly,13262
133447,5,4,17682,December,no,Mixed,Yes,No,weekly,22415
147117,6,1,5797,September,no,Non-Veg,No,No,Monthly,9097
120551,5,4,16143,January,yes,Non-Veg,Yes,Yes,Biweekly,23382
108946,3,1,16097,April,no,Vegetarian,Yes,No,Monthly,18518
144978,4,3,16427,November,no,Non-Veg,Yes,No,Monthly,21319
77104,1,0,5426,January,no,Non-Veg,Yes,No,Biweekly,6397
35364,4,2,14487,february,no,Non-Veg,Yes,No,Monthly,18147
125415,1,0,13942,August,yes,Mixed,Yes,Yes,Monthly,16521
127791,6,3,13307,february,yes,Mixed,Yes,No,Monthly,18344
87960,3,0,5330,August,yes,Mixed,Yes,No,Monthly,7641
102538,2,1,17404,february,no,Mixed,Yes,Yes,weekly,22997
82018,5,1,4122,June,no,Mixed,No,No,Biweekly,6422
110184,8,0,17314,february,yes,Mixed,Yes,Yes,weekly,24297
44519,2,1,6497,December,yes,Mixed,No,Yes,weekly,8315
32400,2,1,11714,November,no,Non-Veg,Yes,Yes,Monthly,14460
67733,5,4,4015,April,yes,Mixed,Yes,Yes,Monthly,8570
44682,8,0,15496,June,no,Mixed,Yes,Yes,weekly,20643
